Lead_Origin,Lead_Source,Do_Not_Email,Converted,TotalVisits,Total_Time_Spent_on_Website,Page_Views_Per_Visit,Specialization,What_is_your_current_occupation,Tags,City,A_free_copy_of_Mastering_The_Interview,Last_Notable_Activity
API,Google,No,1,6,1137,1.5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Google,No,1,3,1068,3,Travel_and_Tourism,Unemployed,Busy,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,1,4,1000,2,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities,Yes,Email_Opened
Landing_Page_Submission,Google,No,1,6,1315,6,Media_and_Advertising,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,0,5,182,5,Not_Specified,Student,Other_Tags,Mumbai,No,Email_Opened
API,Google,No,1,3,78,3,International_Business,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Other_Notable_activity
Landing_Page_Submission,Direct_Traffic,No,1,7,1174,3.5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,Yes,Email_Opened
API,Google,No,0,3,88,1.5,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Referral_Sites,No,0,4,223,2,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Organic_Search,No,0,3,74,1.5,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,1,4,16,2,E_COMMERCE,Unemployed,Will_revert_after_reading_the_email,Mumbai,Yes,Modified
API,Referral_Sites,No,1,3,98,3,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Thane_and_Outskirts,No,Modified
Landing_Page_Submission,Google,No,0,4,1622,4,Management_Specializations,Unemployed,Ringing,Mumbai,No,Modified
Landing_Page_Submission,Google,No,1,5,563,5,Management_Specializations,Working_Professional,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
API,Google,No,0,2,310,2,Not_Specified,Unemployed,Ringing,Mumbai,No,Email_Link_Clicked
Landing_Page_Submission,Google,No,1,4,25,4,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities of Maharashtra,No,Email_Opened
API,Direct_Traffic,No,0,3,342,3,Not_Specified,Unemployed,Busy,Mumbai,No,Email_Opened
Landing_Page_Submission,Organic_Search,Yes,0,7,38,7,Management_Specializations,Unemployed,Busy,Mumbai,Yes,Other_Notable_activity
API,Google,No,0,5,199,5,Not_Specified,Unemployed,Ringing,Mumbai,No,Email_Opened
Landing_Page_Submission,Google,No,0,5,222,5,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,0,6,275,3,Management_Specializations,Unemployed,Other_Tags,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Google,No,0,4,287,2,Management_Specializations,Unemployed,Ringing,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,0,2,547,2,Management_Specializations,Unemployed,Other_Tags,Mumbai,Yes,Email_Opened
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
API,Google,No,0,6,1225,6,Management_Specializations,Unemployed,Other_Tags,Thane_and_Outskirts,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
API,Olark_Chat,No,1,0,0,0,Not_Specified,Unemployed,Will_revert_after_reading_the_email,Thane_and_Outskirts,No,Modified
Landing_Page_Submission,Google,No,0,5,160,5,Business_Administration,Unemployed,Other_Tags,Mumbai,No,Email_Opened
Landing_Page_Submission,Organic_Search,No,0,6,394,2,E_COMMERCE,Unemployed,Ringing,Mumbai,Yes,Modified
API,Google,No,0,6,286,1.5,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
API,Organic_Search,No,0,7,96,2.33,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Email_Opened
API,Organic_Search,No,0,2,12,2,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Email_Opened
Landing_Page_Submission,Referral_Sites,No,1,13,436,13,Management_Specializations,Unemployed,Busy,Other_Metro_Cities,No,Modified
API,Referral_Sites,No,1,8,903,8,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities of Maharashtra,No,Page_Visited_on_Website
Landing_Page_Submission,Organic_Search,No,0,17,409,8.5,Management_Specializations,Unemployed,Interested_in_other_courses,Mumbai,Yes,Modified
Landing_Page_Submission,Referral_Sites,No,0,11,685,5.5,Services_Excellence,Unemployed,Other_Tags,Thane_and_Outskirts,Yes,Email_Opened
API,Google,No,0,4,213,4,International_Business,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Ringing,Mumbai,No,Email_Opened
API,Organic_Search,No,1,7,1468,3.5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,1,4,1435,4,Management_Specializations,Working_Professional,Will_revert_after_reading_the_email,Other_Cities,Yes,Email_Opened
Landing_Page_Submission,Google,No,1,1,157,1,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities of Maharashtra,No,Modified
API,Google,No,1,3,885,1.5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Other_Notable_activity
API,Olark_Chat,No,1,0,0,0,Not_Specified,Unemployed,Will_revert_after_reading_the_email,Other_Cities of Maharashtra,No,Modified
API,Olark_Chat,No,0,0,0,0,Management_Specializations,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Ringing,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,1,1710,1,Management_Specializations,Unemployed,Other_Tags,Thane_and_Outskirts,Yes,Modified
Landing_Page_Submission,Direct_Traffic,No,0,4,219,4,Business_Administration,Unemployed,Ringing,Mumbai,No,Email_Opened
Landing_Page_Submission,Referral_Sites,Yes,0,3,111,3,International_Business,Unemployed,Ringing,Other_Metro_Cities,Yes,Modified
API,Organic_Search,No,0,6,224,6,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,5,224,1.67,Management_Specializations,Unemployed,Not_Specified,Other_Cities of Maharashtra,Yes,Page_Visited_on_Website
Landing_Page_Submission,Direct_Traffic,No,1,2,1071,2,Management_Specializations,Unemployed,Lost_to_EINS,Other_Cities of Maharashtra,Yes,Email_Opened
Landing_Page_Submission,Google,No,1,6,595,3,Banking_Investment_And_Insurance,Working_Professional,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
API,Referral_Sites,No,0,4,520,4,Management_Specializations,Unemployed,Other_Tags,Mumbai,No,Email_Opened
API,Google,No,0,2,393,2,Not_Specified,Unemployed,Ringing,Mumbai,No,Email_Opened
API,Olark_Chat,No,1,0,0,0,Management_Specializations,Working_Professional,Will_revert_after_reading_the_email,Mumbai,No,Email_Link_Clicked
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Google,No,1,3,1136,3,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Modified
API,Referral_Sites,No,0,3,335,3,Not_Specified,Unemployed,Ringing,Mumbai,No,Modified
API,Referral_Sites,No,0,4,75,4,Not_Specified,Unemployed,Ringing,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,0,6,97,3,Management_Specializations,Unemployed,Not_Specified,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Organic_Search,No,0,2,1085,2,Rural_and_Agribusiness,Unemployed,Interested_in_other_courses,Other_Cities of Maharashtra,Yes,Modified
API,Organic_Search,No,0,3,214,3,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Olark_Chat,No,1,6,1158,1.5,Business_Administration,Unemployed,Not_Specified,Other_Cities,Yes,Email_Opened
Landing_Page_Submission,Google,No,0,4,101,4,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Email_Opened
Landing_Page_Submission,Google,No,0,9,838,4.5,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,0,3,536,3,Management_Specializations,Unemployed,Other_Tags,Mumbai,Yes,Modified
Landing_Page_Submission,Direct_Traffic,No,0,4,161,2,Management_Specializations,Unemployed,Busy,Mumbai,No,Other_Notable_activity
Landing_Page_Submission,Google,No,0,2,511,2,Management_Specializations,Unemployed,Other_Tags,Mumbai,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Google,No,1,5,1110,5,Management_Specializations,Working_Professional,Will_revert_after_reading_the_email,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,1,5,1563,5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,Yes,Email_Opened
API,Referral_Sites,No,0,7,1633,3.5,Not_Specified,Unemployed,Ringing,Mumbai,No,Modified
API,Olark_Chat,No,1,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Google,No,0,12,809,4,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,2,638,2,Management_Specializations,Unemployed,Other_Tags,Mumbai,Yes,Modified
API,Google,No,1,5,1196,5,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,0,6,1485,6,Management_Specializations,Unemployed,Ringing,Other_Cities,Yes,Email_Opened
API,Google,No,0,9,125,3,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Google,No,1,3,165,3,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Google,No,0,6,398,3,E_COMMERCE,Unemployed,Not_Specified,Mumbai,Yes,Olark_Chat_Conversation
API,Organic_Search,No,0,3,570,3,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,1,6,895,6,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities of Maharashtra,Yes,Email_Opened
Landing_Page_Submission,Google,No,1,4,1190,4,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
Lead_Add_Form,Reference,No,1,0,0,0,Business_Administration,Working_Professional,Closed_by_Horizzon,Mumbai,No,Email_Link_Clicked
API,Direct_Traffic,No,0,5,1566,5,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Google,No,1,5,727,5,Not_Specified,Unemployed,Will_revert_after_reading_the_email,Thane_and_Outskirts,No,Email_Opened
Landing_Page_Submission,Google,No,0,8,652,4,Management_Specializations,Unemployed,Ringing,Mumbai,No,Modified
API,Organic_Search,No,0,4,1248,1.33,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Email_Opened
API,Google,No,0,2,767,2,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Referral_Sites,No,0,10,275,3.33,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Page_Visited_on_Website
API,Organic_Search,No,0,3,273,3,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
Landing_Page_Submission,Google,No,0,8,277,4,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Email_Opened
API,Organic_Search,No,1,3,1207,1.5,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
API,Google,No,0,2,39,1,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Google,No,0,4,1638,4,Management_Specializations,Unemployed,Ringing,Mumbai,Yes,Email_Opened
API,Referral_Sites,No,0,16,53,16,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,1,127,1,Management_Specializations,Unemployed,Other_Tags,Mumbai,Yes,Modified
Landing_Page_Submission,Organic_Search,Yes,0,5,100,5,Management_Specializations,Unemployed,Other_Tags,Mumbai,Yes,Modified
Landing_Page_Submission,Google,Yes,0,4,323,4,International_Business,Unemployed,Not_Specified,Mumbai,No,Other_Notable_activity
API,Google,No,1,2,160,1,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Lead_Add_Form,Reference,No,1,0,0,0,Management_Specializations,Businessman,Closed_by_Horizzon,Mumbai,No,Modified
API,Google,No,0,1,263,1,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Google,No,0,2,1218,2,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
Landing_Page_Submission,Google,No,1,5,1091,5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Other_Notable_activity
Landing_Page_Submission,Direct_Traffic,No,0,4,291,4,Management_Specializations,Unemployed,Not_Specified,Other_Cities,Yes,Modified
Lead_Add_Form,Reference,No,1,0,0,0,Management_Specializations,Unemployed,Closed_by_Horizzon,Thane_and_Outskirts,No,Modified
API,Google,Yes,0,1,1759,1,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Olark_Chat_Conversation
Landing_Page_Submission,Referral_Sites,No,0,7,41,3.5,Services_Excellence,Unemployed,Not_Specified,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Google,No,0,5,386,5,Business_Administration,Unemployed,Interested_in_other_courses,Thane_and_Outskirts,No,Modified
API,Referral_Sites,No,0,6,216,2,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Page_Visited_on_Website
Landing_Page_Submission,Google,No,1,5,1603,5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
Landing_Page_Submission,Google,No,0,7,106,3.5,Not_Specified,Unemployed,Not_Specified,Other_Cities,No,Modified
API,Google,No,0,2,73,2,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Google,No,0,2,77,2,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,3,718,3,Management_Specializations,Unemployed,Not_Specified,Thane_and_Outskirts,Yes,Modified
Landing_Page_Submission,Google,No,0,5,432,1.67,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Olark_Chat_Conversation
Landing_Page_Submission,Google,No,0,5,232,2.5,Management_Specializations,Unemployed,Interested_in_other_courses,Other_Cities,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,0,2,702,2,Management_Specializations,Unemployed,Other_Tags,Other_Cities,Yes,Email_Opened
Landing_Page_Submission,Organic_Search,No,1,5,614,5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Thane_and_Outskirts,Yes,Other_Notable_activity
Landing_Page_Submission,Direct_Traffic,No,1,1,1808,1,Management_Specializations,Unemployed,Lost_to_EINS,Thane_and_Outskirts,Yes,Modified
Landing_Page_Submission,Direct_Traffic,Yes,0,2,234,1,Management_Specializations,Unemployed,Other_Tags,Mumbai,Yes,Modified
Landing_Page_Submission,Direct_Traffic,No,0,3,245,3,Management_Specializations,Unemployed,Ringing,Thane_and_Outskirts,Yes,Modified
Landing_Page_Submission,Organic_Search,No,1,8,1268,4,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Google,No,0,2,56,2,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Referral_Sites,No,0,4,174,2,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,4,1149,2,Not_Specified,Unemployed,Ringing,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,0,2,333,2,E_COMMERCE,Unemployed,Not_Specified,Other_Cities,Yes,Email_Opened
API,Organic_Search,No,0,7,471,2.33,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,1,3,1010,3,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Metro_Cities,Yes,Email_Opened
API,Olark_Chat,No,1,10,1815,3.33,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities of Maharashtra,Yes,Other_Notable_activity
Landing_Page_Submission,Direct_Traffic,No,0,2,47,2,Business_Administration,Unemployed,Ringing,Other_Cities,Yes,Email_Link_Clicked
Landing_Page_Submission,Direct_Traffic,No,1,3,1528,1.5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities,Yes,Modified
Landing_Page_Submission,Google,No,1,6,919,6,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
API,Organic_Search,No,0,10,194,5,Media_and_Advertising,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Organic_Search,No,0,1,1173,1,Not_Specified,Unemployed,Ringing,Mumbai,No,Modified
API,Google,No,0,2,351,2,Not_Specified,Unemployed,Ringing,Mumbai,No,Email_Opened
Landing_Page_Submission,Referral_Sites,No,0,12,493,12,Management_Specializations,Unemployed,Not_Specified,Thane_and_Outskirts,Yes,Email_Link_Clicked
Landing_Page_Submission,Direct_Traffic,No,0,3,381,1.5,Management_Specializations,Unemployed,Ringing,Thane_and_Outskirts,Yes,Page_Visited_on_Website
API,Referral_Sites,No,0,2,1944,2,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Email_Opened
Landing_Page_Submission,Google,No,0,5,65,5,Management_Specializations,Unemployed,Ringing,Thane_and_Outskirts,No,Modified
API,Organic_Search,No,0,7,1334,7,Business_Administration,Unemployed,Interested_in_other_courses,Mumbai,Yes,Modified
API,Google,No,0,7,615,7,Banking_Investment_And_Insurance,Unemployed,Interested_in_other_courses,Thane_and_Outskirts,No,Modified
Lead_Add_Form,Reference,No,1,0,0,0,Management_Specializations,Working_Professional,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
API,Google,No,0,1,250,1,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,2,383,2,Business_Administration,Unemployed,Not_Specified,Other_Metro_Cities,Yes,Email_Link_Clicked
Lead_Add_Form,Reference,No,1,0,0,0,Banking_Investment_And_Insurance,Working_Professional,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Referral_Sites,No,0,4,904,4,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Google,No,0,1,164,1,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Google,No,0,2,1793,2,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Organic_Search,No,0,5,1841,5,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Organic_Search,No,1,8,877,2.67,Banking_Investment_And_Insurance,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Email_Link_Clicked
Lead_Add_Form,Reference,No,1,0,0,0,Management_Specializations,Unemployed,Closed_by_Horizzon,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,1,12,1411,6,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities,Yes,Email_Opened
API,Organic_Search,No,1,6,385,6,Not_Specified,Unemployed,Will_revert_after_reading_the_email,Thane_and_Outskirts,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
API,Google,No,0,12,68,1.71,Media_and_Advertising,Unemployed,Not_Specified,Mumbai,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Google,No,0,3,192,3,International_Business,Unemployed,Not_Specified,Thane_and_Outskirts,No,Email_Opened
Landing_Page_Submission,Google,No,0,5,309,5,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Modified
API,Organic_Search,No,0,4,342,4,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Google,No,0,2,78,1,Not_Specified,Unemployed,Ringing,Mumbai,No,Email_Opened
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
API,Organic_Search,No,1,5,1234,1.67,International_Business,Student,Will_revert_after_reading_the_email,Thane_and_Outskirts,No,Email_Opened
API,Organic_Search,No,0,8,14,8,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Referral_Sites,No,0,4,77,4,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
API,Referral_Sites,No,1,3,1299,3,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Lead_Add_Form,Reference,No,1,0,0,0,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities of Maharashtra,No,Email_Opened
API,Referral_Sites,No,0,2,457,2,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Organic_Search,No,0,5,358,5,Not_Specified,Unemployed,Busy,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,3,481,3,Banking_Investment_And_Insurance,Unemployed,Not_Specified,Other_Cities,Yes,Email_Link_Clicked
API,Direct_Traffic,No,0,2,205,2,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,1,1,1106,1,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Other_Cities,Yes,Modified
Landing_Page_Submission,Direct_Traffic,No,1,9,1953,1.8,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Thane_and_Outskirts,No,Modified
Lead_Add_Form,Reference,No,1,0,0,0,Not_Specified,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
Landing_Page_Submission,Google,No,0,5,207,2.5,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,1,2,1587,2,E_COMMERCE,Unemployed,Will_revert_after_reading_the_email,Other_Cities,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,1,2,1509,2,E_Business,Unemployed,Lost_to_EINS,Mumbai,Yes,Modified
API,Organic_Search,No,0,4,331,4,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,4,187,4,Management_Specializations,Unemployed,Ringing,Mumbai,Yes,Modified
API,Organic_Search,No,1,3,1407,1.5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Modified
Lead_Add_Form,Reference,No,1,0,0,0,Management_Specializations,Working_Professional,Closed_by_Horizzon,Mumbai,No,Modified
Landing_Page_Submission,Google,No,0,1,123,1,Not_Specified,Unemployed,Other_Tags,Other_Cities,No,Modified
API,Organic_Search,No,0,1,100,1,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,1,9,1164,4.5,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,Yes,Email_Opened
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,1,1,1362,1,Rural_and_Agribusiness,Unemployed,Will_revert_after_reading_the_email,Other_Cities of Maharashtra,No,Modified
API,Direct_Traffic,No,0,7,1051,3.5,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Google,No,0,2,1816,2,Not_Specified,Unemployed,Interested_in_other_courses,Thane_and_Outskirts,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,7,74,2.33,Management_Specializations,Unemployed,Ringing,Mumbai,No,Modified
API,Organic_Search,No,0,13,54,6.5,Not_Specified,Unemployed,Ringing,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,1,3,1183,3,Management_Specializations,Unemployed,Lost_to_EINS,Thane_and_Outskirts,Yes,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,0,3,66,3,Management_Specializations,Unemployed,Other_Tags,Thane_and_Outskirts,Yes,Email_Opened
API,Olark_Chat,No,0,3,1122,1.5,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Email_Opened
